Nome;Código;codigo
celpe;CEPE6;cepe6
bkbr3;BKBR3;bkbr3
metalgráfica iguaçu;MTIG4;mtig4
blue tech solutions;BLUT4;blut4
blue tech solutions;BLUT3;blut3
banco modal;MODL4;modl4
card3;CARD3;card3
schulz;SHUL3;shul3
investimentos bemge;FIGE3;fige3
finansinos;FNCN3;fncn3
teka;TEKA3;teka3
hercules;HETA3;heta3
locamerica;LCAM3;lcam3
banco inter;BIDI4;bidi4
banco inter;BIDI3;bidi3
ceee gt;EEEL4;eeel4
ceee gt;EEEL3;eeel3
bbrk3;BBRK3;bbrk3
sondotécnica;SOND3;sond3
cesp;CESP6;cesp6
cesp;CESP3;cesp3
cesp;CESP5;cesp5
encorpar;ECPR4;ecpr4
mosaico;MOSI3;mosi3
focus energia;POWE3;powe3
encorpar;ECPR3;ecpr3
notredame intermédica;GNDI3;gndi3
lojas americanas;LAME4;lame4
lojas americanas;LAME3;lame3
omega geração;OMGE3;omge3
igta3;IGTA3;igta3
jpsa3;JPSA3;jpsa3
brdt3;BRDT3;brdt3
jbdu4;JBDU4;jbdu4
jbdu3;JBDU3;jbdu3
hering;HGTX3;hgtx3
ccpr3;CCPR3;ccpr3
dtex3;DTEX3;dtex3
vvar3;VVAR3;vvar3
dimed;PNVL4;pnvl4
terra santa;TESA3;tesa3
btow3;BTOW3;btow3
linx;LINX3;linx3
embpar;BTTL3;bttl3
gpcp3;GPCP3;gpcp3
gpcp4;GPCP4;gpcp4
smiles;SMLS3;smls3
mmx mineração;MMXM3;mmxm3
biosev;BSEV3;bsev3
cnto3;CNTO3;cnto3
aes tietê energia;TIET4;tiet4
aes tietê energia;TIET3;tiet3
corrêa ribeiro;CORR4;corr4
celpe;CEPE3;cepe3
adolpho lindenberg;CALI4;cali4
sansuy;SNSY6;snsy6
casan;CASN4;casn4
emae;EMAE3;emae3
banpará;BPAR3;bpar3
aliperti;APTI4;apti4
fca;VSPT3;vspt3
metalgráfica iguaçu;MTIG3;mtig3
investimentos bemge;FIGE4;fige4
trevisa;LUXM3;luxm3
tekno;TKNO3;tkno3
coelce;COCE6;coce6
mangels;MGEL3;mgel3
santanense;CTSA8;ctsa8
minasmáquinas;MMAQ4;mmaq4
